gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,Label
su(sable),70.33115854,5.482635781,2.035172112,2.693942074,0.007061244,0.047176953,
m-cup,74.93068146,8.384212588,3.118024458,2.688950231,0.00716771,0.04783512,
Rpi,3660.708286,-1.26762087,0.472625534,-2.682082916,0.007316532,0.048774178,
CG30096,37.53038435,8.35189319,3.117919928,2.678674688,0.007391417,0.049164367,
Inx2,3241.797673,0.928087692,0.346429784,2.679006638,0.007384093,0.049164367,
Lrt,162.1077008,4.359730242,1.628998514,2.676325488,0.007443432,0.049455642,
prominin-like,309.1372922,4.852920283,1.813692581,2.675712706,0.007457054,0.049491461,
mrj,2086.03973,-1.678740458,0.62844838,-2.671246377,0.007557016,0.050099598,
Larp7,135.3875191,5.426757738,2.032408424,2.670111811,0.007582599,0.050213843,
Pgant9,175.8074415,3.432383532,1.285675064,2.669713077,0.007591609,0.0502182,
CG34166,1961.434813,-3.751564513,1.405499879,-2.669203014,0.007603148,0.050239262,
CCT8,3591.276786,0.70580661,0.264517095,2.668283537,0.007623989,0.050321674,
snu,603.9314541,1.83759297,0.689539054,2.664958512,0.007699782,0.050766217,
Synj,36.13157998,8.297795004,3.114211601,2.664492997,0.007710447,0.050780853,
Desat1,4045.20166,-0.65770646,0.246886099,-2.664007668,0.00772158,0.050798536,
Gem3,907.364801,-4.139290374,1.555963542,-2.660274655,0.007807695,0.051170748,
trbl,95.93160537,6.833520114,2.568914792,2.660080488,0.007812198,0.051170748,
GstE1,19.35337756,7.396675254,2.780514932,2.660181813,0.007809848,0.051170748,
MED8,81.22722446,4.56106238,1.714238411,2.660693141,0.007797999,0.051170748,
CG34228,158.174807,-1.821264882,0.684961881,-2.658928815,0.007838952,0.05129012,
Abp1,306.4788765,4.308219431,1.621200941,2.657424705,0.007874018,0.051463553,
Ttc19,32.80316205,7.187544313,2.705644222,2.656500161,0.007895641,0.05154885,
CG8475,68.41811254,8.252416658,3.107552092,2.655600425,0.007916736,0.051630512,
CG10863,366.3895341,-2.761114812,1.04027346,-2.654220181,0.007949194,0.051786027,
CG6310,2135.570297,-0.852339965,0.32149399,-2.651184754,0.008020995,0.052197234,
Eph,777.7363669,1.323287555,0.499299321,2.650289112,0.008042292,0.052279244,
wda,66.90179805,8.219898971,3.108568105,2.644271797,0.008186689,0.053103085,
CG9422,332.8646255,3.473062967,1.313249114,2.64463378,0.008177937,0.053103085,
Trxr-1,710.9953622,4.307711907,1.629331301,2.643852668,0.008196833,0.053111589,
CG13339,193.7086962,-2.566865391,0.971265493,-2.642805094,0.008222235,0.053218837,
brun,33.16136308,8.174087077,3.093938004,2.641968607,0.00824257,0.053293087,
jing,69.9099322,8.28337833,3.136714801,2.640781472,0.008271505,0.053422729,
Edg91,1654.297407,-1.596605656,0.604716047,-2.640256799,0.008284323,0.053448104,
Tnpo-SR,60.96777519,7.154006489,2.718152206,2.631937415,0.00848995,0.054716045,
arx,22.81306726,6.659663849,2.534300582,2.627811357,0.008593616,0.055324852,
Edem1,64.74841372,8.17160829,3.117184859,2.621470544,0.008755133,0.056304399,
sro,575.6055491,-1.486781709,0.567343012,-2.620604601,0.0087774,0.056387292,
TMS1,382.2809733,3.931521632,1.500726912,2.619744873,0.008799557,0.056469303,
Catsup,2694.217085,-1.20554586,0.460375214,-2.61861591,0.008828729,0.056596107,
Ankle2,30.37536253,8.046685216,3.082568129,2.610383576,0.009044075,0.057914828,
lncRNA:CR43130,21.1716246,7.52616301,2.887439857,2.606517671,0.00914681,0.058510395,
CG5003,229.4196872,4.684313713,1.797871631,2.605477295,0.009174635,0.058626018,
Nca,3702.17142,-1.166355346,0.448240929,-2.60207239,0.009266229,0.059148445,
Dbp21E2,699.9825178,-1.277874444,0.492033901,-2.59712683,0.009400721,0.059943301,
CG4049,51.33637245,5.438140717,2.096150936,2.594345962,0.009477107,0.060366361,
Naxd,2819.642821,-1.213497861,0.468060265,-2.592610292,0.009525063,0.060607626,
pen-2,544.2000229,-1.707350155,0.658678842,-2.59208289,0.009539678,0.060636455,
Mob3,799.0767526,-2.126283444,0.820839925,-2.590375271,0.009587136,0.060873756,
lama,19.03887547,7.373494297,2.847931244,2.589070334,0.009623544,0.060976151,
Hers,17.97284738,7.290115736,2.815341389,2.589425128,0.009613633,0.060976151,
CG8064,220.3240534,7.574444205,2.92686262,2.587905613,0.009656144,0.061118307,
RtcB,526.9774508,4.779200858,1.848995791,2.58475486,0.009744825,0.061614759,
RpS27,2962.129369,-0.660472775,0.255641707,-2.583587721,0.00977786,0.061629215,
BHD,50.96284129,6.997450425,2.707732656,2.58424716,0.009759183,0.061629215,
CG14817,667.0309494,-1.222152922,0.473012876,-2.58376248,0.009772907,0.061629215,
Mst85C,1280.281571,-1.190257188,0.460993128,-2.58194128,0.00982463,0.061859162,
Scp1,33.43510929,8.185271848,3.170780724,2.581468907,0.009838085,0.061879087,
mtgo,720.3351393,-2.632371561,1.02016122,-2.580348585,0.009870063,0.062015348,
CG5664,65.83010204,7.241556263,2.806875372,2.579935089,0.009881889,0.062024841,
cysu,17.58694786,6.281573967,2.441126983,2.573227043,0.010075509,0.063174175,
pdm3,28.33820381,6.973634094,2.712100631,2.571303591,0.010131647,0.063459991,
nxf2,22.99213176,7.64428247,2.97481834,2.569663622,0.010179731,0.063694818,
CG34383,400.4599805,-2.318530868,0.903821033,-2.565254385,0.010310019,0.064442975,
mRpS18A,3797.746915,-1.444987418,0.563930625,-2.562349613,0.01039666,0.064917049,
CG4950,30.21460218,6.132927475,2.39413788,2.56164339,0.010417823,0.064981709,
Sec6,211.4877671,5.217980877,2.037771463,2.560631049,0.010448225,0.06510381,
fuss,114.0351252,-3.446291038,1.346351453,-2.559726163,0.010475467,0.065205987,
Orct,58.1061711,8.015898083,3.132473911,2.558967229,0.010498364,0.065280932,
CG5613,59.6184891,5.182404389,2.027946473,2.555493676,0.010603729,0.065867997,
chn,33.15083892,4.133577192,1.61902656,2.553125004,0.010676117,0.066249219,
Mtpalpha,2677.942956,1.172394955,0.459384126,2.552101584,0.010707529,0.066375644,
Coop,527.5128517,3.350961066,1.31324886,2.55165732,0.010721191,0.066391886,
Cpsf100,60.06593815,8.063746644,3.166262872,2.546771058,0.010872474,0.067259449,
CG7029,20.68847523,6.514289897,2.558819088,2.545818861,0.010902174,0.067373869,
Pgm2a,887.2054393,3.17404642,1.24769891,2.543920168,0.010961613,0.067671644,
Lsp2,377.932185,-3.611765867,1.423788434,-2.53672932,0.011189343,0.068935984,
dmpd,160.457305,5.156177621,2.032568179,2.536779663,0.011187734,0.068935984,
CG7946,491.7914164,2.410942627,0.952051371,2.532366111,0.011329563,0.069614935,
CG32262,263.0418374,-5.58062335,2.203846011,-2.532220183,0.011334279,0.069614935,
cutlet,57.15100639,7.990838519,3.15545051,2.532392282,0.011328717,0.069614935,
CG31251,50.37626979,6.876200058,2.717154843,2.530661834,0.011384755,0.069853605,
CG7519,1095.682535,-1.069322813,0.42282145,-2.529017421,0.011438235,0.070110201,
CG31648,641.9315492,-1.541118053,0.609560254,-2.528245639,0.011463412,0.070192968,
zfh2,414.4513608,-1.850556624,0.732897384,-2.524987351,0.011570245,0.070775061,
Pcmt,1781.843236,-1.890956643,0.75246552,-2.513014343,0.011970447,0.072926339,
Alg10,1282.258171,-1.471516372,0.585313714,-2.514064403,0.011934864,0.072926339,
RhoGAPp190,16.69498359,7.183314871,2.857784374,2.513595825,0.011950731,0.072926339,
mRpL28,1837.2787,-1.017967297,0.405030074,-2.51331287,0.011960321,0.072926339,
lilli,564.9687305,-2.131316698,0.849717426,-2.508265257,0.012132555,0.073839124,
CG32549,55.19505777,7.941465405,3.168327708,2.506516414,0.01219274,0.074130378,
scrib,705.8220002,-2.704920815,1.079367853,-2.506023138,0.012209763,0.074158894,
CG6136,41.36498831,6.469807156,2.584481886,2.503328497,0.012303129,0.074626408,
Zip89B,17.45147013,7.247994426,2.89565826,2.503055877,0.01231261,0.074626408,
Ssdp,1876.337236,-1.12755224,0.450529003,-2.502729529,0.012323969,0.074626408,
CG14562,17.95116877,7.287907195,2.914969979,2.500165439,0.012413532,0.07502707,
Mer,55.07048676,6.501323509,2.600403551,2.500120993,0.01241509,0.07502707,
CG40472,1024.843668,-2.116524192,0.846748738,-2.499589425,0.012433731,0.075064284,
PGAP2,81.70196911,7.663200442,3.067693415,2.498033344,0.012488445,0.075318974,
CG7322,17.57477544,7.257263297,2.907133501,2.49636396,0.012547379,0.075598585,
Eaf,81.10324979,4.705006107,1.885183827,2.495781069,0.012568014,0.075647117,
Toll-7,79.43448667,5.537681112,2.219889444,2.494575182,0.012610801,0.075828745,
pain,50.00433551,6.842921752,2.749751891,2.488559704,0.01282617,0.07696982,
ND-B14.5B,1865.648086,-2.011911639,0.808452311,-2.488596558,0.012824841,0.07696982,
PIG-O,83.02778231,7.686606623,3.089302949,2.48813624,0.012841453,0.076984702,
CG10353,940.0635712,-2.05130987,0.824936678,-2.486627063,0.012896051,0.077235013,
CG10265,54.01303794,7.908925035,3.181520527,2.485894706,0.012922619,0.077317125,
CG30380,16.84490907,7.196062537,2.895190418,2.485523057,0.012936121,0.077320968,
Sap30,269.4908438,3.845473755,1.548302751,2.483670428,0.013003609,0.077647173,
CG8420,1140.233526,3.536902838,1.424790655,2.482401766,0.013050004,0.077692749,
Axn,18.67346265,6.365554015,2.5641308,2.482538729,0.013044989,0.077692749,
CG42246,219.8803872,-1.961701534,0.790054307,-2.48299581,0.013028262,0.077692749,
CG2186,27.27547144,7.891006387,3.181499289,2.480279161,0.013127956,0.078073483,
RluA-2,20.58978342,7.486725264,3.018896529,2.479954246,0.013139924,0.078073483,
CG7655,1091.891419,-1.647412163,0.664449829,-2.479362762,0.013161737,0.078125888,
Cog7,90.3194089,7.592255994,3.064046287,2.477852905,0.013217562,0.078379884,
Lrrk,23.6766782,7.688041039,3.108168948,2.473495221,0.013379859,0.079264132,
csw,50.0326652,5.175524856,2.093290937,2.47243456,0.013419628,0.07942148,
betaTub60D,1988.978301,3.095404426,1.253453411,2.469500979,0.013530165,0.079996933,
CG34112,16.75410321,7.188801169,2.91225829,2.468462771,0.013569477,0.080150553,
dgrn,203.8546479,4.275667685,1.734218445,2.465472384,0.013683272,0.080445303,
Rbp1,3365.112046,-1.258040233,0.510264325,-2.465467741,0.01368345,0.080445303,
Apc,28.54173191,7.956847733,3.227872716,2.465043833,0.013699649,0.080445303,
Bap55,2689.847538,-1.075281742,0.436184399,-2.465199913,0.013693683,0.080445303,
cer,924.2175228,-1.918607682,0.777920326,-2.466329287,0.013650578,0.080445303,
qkr58E-1,225.3974774,3.115899947,1.263675288,2.465744148,0.013672896,0.080445303,
shi,958.0181557,2.45654269,0.996722837,2.464619651,0.013715876,0.080462013,
egl,25.70369185,5.896777954,2.393737886,2.4634184,0.013761922,0.080574912,
CG14440,28.52026445,7.955683531,3.229277395,2.463611068,0.013754527,0.080574912,
RpL24-like,1224.569347,-1.343444854,0.546506287,-2.458242268,0.013961895,0.081666221,
ATPsynO,12972.44008,-0.8882833,0.362184009,-2.452574598,0.014183797,0.082883546,
Npc1a,105.7841928,4.109878786,1.676115873,2.452025456,0.014205461,0.082929552,
CG5037,1668.944329,-1.676173314,0.683946151,-2.45073872,0.014256339,0.083145848,
CG15771,28.99375142,5.185023116,2.118477955,2.447522809,0.014384202,0.083810278,
RpL13A,13738.59327,-0.664919439,0.271751496,-2.446792199,0.014413391,0.083899053,
Pepck2,115.0589311,-3.608920337,1.475540463,-2.445829463,0.014451934,0.08404205,
Jwa,2251.486561,-1.047778559,0.428583134,-2.444749866,0.014495263,0.084212579,
GstE12,1932.000123,-1.054375138,0.432833787,-2.435981593,0.01485144,0.086198562,
CG34215,177.0602151,-3.064422945,1.259232233,-2.433564568,0.014950969,0.08669255,
ATPsynD,10722.8691,-0.912480265,0.375037646,-2.433036457,0.014972793,0.086735458,
CG9921,843.9330344,-2.085532991,0.858179874,-2.430181661,0.015091257,0.087337562,
ImpL2,28.45382154,7.952943401,3.275727734,2.427840177,0.015189035,0.087650353,
ND-SGDH,2334.066202,-0.841979868,0.346782651,-2.427975751,0.015183358,0.087650353,
nrm,71.11194026,-2.369767533,0.975858347,-2.428392953,0.015165901,0.087650353,
Su(var)3-7,23.55147033,7.680271869,3.165616066,2.426153933,0.015259796,0.087950519,
Prx6005,784.6944976,-1.097897716,0.452572595,-2.425904104,0.015270305,0.087950519,
cdm,407.9874942,4.490573058,1.85452939,2.421408408,0.015460497,0.088875684,
lncRNA:CR43314,391.1941832,1.165566824,0.481305388,2.421678323,0.015449019,0.088875684,
CG13659,45.53025647,7.663051355,3.1662236,2.420249585,0.015509858,0.088956813,
CG10011,32.35728977,5.768910609,2.383812383,2.420035507,0.015518992,0.088956813,
CR40005,29.13104105,-5.45396254,2.253464198,-2.420257018,0.015509541,0.088956813,
Mlp60A,238.2858491,-2.945797741,1.218223401,-2.418109632,0.015601376,0.089343877,
ppan,1728.864516,-0.852928258,0.353518532,-2.412683298,0.015835573,0.090450157,
Hacl,448.094472,3.987953172,1.652976816,2.412588691,0.015839683,0.090450157,
insv,23.99946569,5.894207897,2.442748517,2.412940938,0.015824384,0.090450157,
Smyd5,1368.147857,-1.384499654,0.574168737,-2.411311458,0.015895268,0.090681448,
Pa1,7523.412542,-1.657936655,0.687888052,-2.410183824,0.015944485,0.090876006,
usp,322.7239047,3.747688563,1.555733978,2.408952054,0.0159984,0.091096948,
ArgRS-m,42.97016442,6.621736697,2.749978306,2.407923249,0.016043553,0.091267632,
mahj,45.04224263,5.282298983,2.194078817,2.407524716,0.016061075,0.091280949,
GstD1,19805.47738,-0.910343134,0.378388838,-2.405840352,0.016135314,0.091529853,
Hydr1,47.90840297,7.736334938,3.21529029,2.406107766,0.016123508,0.091529853,
CG45076,76.66666964,5.224047588,2.174220302,2.402722292,0.016273541,0.092053433,
CG5174,2927.361578,-1.110326775,0.461984681,-2.403384397,0.016244102,0.092053433,
TBCB,772.8184375,-0.993723804,0.413577557,-2.402750793,0.016272272,0.092053433,
Cpr64Ad,18.55948989,7.33699641,3.055895504,2.400931708,0.016353388,0.092368878,
gkt,18.93992531,7.364634747,3.067596842,2.40078313,0.016360029,0.092368878,
milt,754.6477852,-3.092044667,1.289832503,-2.397245115,0.016518869,0.093178199,
G9a,106.5217798,3.695907836,1.542178383,2.39655015,0.016550228,0.093267595,
NKAIN,273.9456014,4.422095929,1.845502354,2.396147542,0.01656842,0.093282684,
CG7706,43.97015947,6.655306059,2.779309427,2.39458982,0.016638968,0.093592247,
pav,229.0495316,4.380925991,1.829829112,2.3941722,0.016657926,0.093611317,
CG13397,46.88887207,7.705708473,3.219526748,2.393428934,0.016691715,0.093713613,
hfw,95.92484096,6.138558801,2.570449972,2.388126152,0.016934528,0.094988167,
lncRNA:CR45755,124.9773823,-3.275212048,1.371879905,-2.387389767,0.016968491,0.095089966,
eIF2Bgamma,883.5189616,-1.307957921,0.547953658,-2.386986384,0.01698712,0.095105731,
KrT95D,22.75512357,6.655661563,2.797832448,2.378863526,0.017366104,0.097137101,
Pi3K68D,73.31041703,5.078276856,2.135248433,2.378307262,0.017392327,0.097193364,
Tspo,481.6388399,-1.60566126,0.675747617,-2.376125671,0.017495503,0.097679164,
NSD,179.0923669,4.355572345,1.834035453,2.374857225,0.017555739,0.097851501,
CG5026,438.0814735,4.506265944,1.897963557,2.374263682,0.017583988,0.097851501,
CG4042,55.74986032,3.58367858,1.509169703,2.374602785,0.017567844,0.097851501,
CG1492,46.15642175,7.682552773,3.235976137,2.374106745,0.017591464,0.097851501,
Fpgs,16.17406262,7.138060491,3.010260982,2.371243069,0.017728368,0.098521881,
CG12056,758.3631664,-1.287470948,0.543464609,-2.369006054,0.017835962,0.099028289,
Msp300,3120.766315,-1.313247446,0.555100088,-2.36578497,0.017991891,0.099801882,
CG13807,697.5733267,-1.210107359,0.511852587,-2.364171617,0.01807044,0.10014521,
Pp2B-14D,289.262824,2.562395321,1.085288917,2.361025973,0.018224454,0.100905749,
CG6907,544.0726643,5.13647785,2.177352489,2.359047456,0.018321913,0.101352033,
GstT4,1237.018311,-2.074983409,0.879918086,-2.358155199,0.018366013,0.101502605,
CG4324,38.25841149,6.581160034,2.792054392,2.35710309,0.018418133,0.101647143,
CG4788,1000.222515,-2.316655776,0.982906159,-2.356945019,0.018425975,0.101647143,
mRpS28,488.2513852,-1.589952476,0.674786114,-2.356231765,0.018461395,0.101749193,
CG15916,20.06603852,7.448190921,3.162858643,2.354892128,0.018528083,0.102023229,
Jon99Ciii,20.70442213,7.494536868,3.183336986,2.354302074,0.018557524,0.102091848,
Naa35,175.1157144,4.386299479,1.86452545,2.3525018,0.0186476,0.102493616,
CG43295,35.34737808,5.205833567,2.21376925,2.351570096,0.018694367,0.10265683,
Rpt2,2755.863795,1.322080309,0.5623707,2.350905388,0.018727795,0.102746562,
CG4045,1442.06819,-1.826527412,0.777679852,-2.348688098,0.018839681,0.103172132,
Rrp40,822.6485609,-1.16870044,0.49757564,-2.348789503,0.018834551,0.103172132,
COX6B,2364.939676,-0.623793819,0.265651992,-2.348161649,0.018866331,0.103224068,
CG14135,807.7318717,-2.277797473,0.970340033,-2.347421931,0.018903834,0.103335232,
Mlc1,926.4818424,-2.179171885,0.928638864,-2.346630073,0.018944053,0.103461025,
Nup75,319.6181148,3.795310228,1.619068236,2.344132349,0.019071403,0.104062018,
CG7101,669.790637,-2.587229928,1.104090954,-2.343312314,0.019113376,0.104196492,
CG12173,895.5983314,-1.087827856,0.465179263,-2.33851322,0.019360641,0.105448852,
CG13315,621.5350775,-4.684329472,2.005058316,-2.336255976,0.019477905,0.105895696,
Brca2,21.11609845,6.547148444,2.802229233,2.33640716,0.019470031,0.105895696,
Sbf,12.74283514,5.810769316,2.489864579,2.33376922,0.019607809,0.106403043,
pim,79.28411421,3.68941701,1.581096692,2.333454386,0.01962431,0.106403043,
Ski6,882.3034016,-0.978794168,0.419437426,-2.33358806,0.019617302,0.106403043,
CG40439,1046.893573,-1.86230784,0.798450771,-2.332401581,0.019679575,0.106606563,
Tpi,18807.99505,-0.719214472,0.308708548,-2.329752374,0.019819243,0.10707377,
CG10681,43.01462527,7.5804895,3.253463826,2.329975037,0.019807471,0.10707377,
CG3420,1024.683904,-1.499233322,0.643460014,-2.32995569,0.019808493,0.10707377,
kermit,64.02494042,7.310038395,3.140490711,2.327673943,0.019929424,0.107572374,
Hml,104.6777069,-7.240623125,3.111823988,-2.326809984,0.019975381,0.107723735,
CG17754,245.0627872,4.744334045,2.039689791,2.326007644,0.020018143,0.10785761,
CG2233,1329.55098,-4.214914411,1.81279701,-2.325089013,0.020067201,0.108025139,
eEF2,24215.20238,0.659503456,0.28372,2.324487015,0.020099407,0.108101729,
CG14968,1269.371893,-2.260828473,0.974703397,-2.319504047,0.020367722,0.109426328,
CG7546,67.45837559,4.115034084,1.774303672,2.319238893,0.020382087,0.109426328,
CG13192,136.2350327,4.26753982,1.84063069,2.318520409,0.020421055,0.109537738,
CG17219,1230.879773,-1.43756078,0.620753537,-2.315831799,0.020567454,0.11022469,
senju,155.7378204,4.869342098,2.102967839,2.315461991,0.020587662,0.110234741,
Esyt2,13.11301226,-6.848040904,2.959826587,-2.313662879,0.020686222,0.110663924,
spirit,21.48552014,6.571173909,2.842283789,2.311934485,0.020781294,0.111073707,
norpA,619.3725733,-4.723286254,2.043440218,-2.311438432,0.02080865,0.111121149,
CG5346,400.8774687,3.601302114,1.55910355,2.309854348,0.020896219,0.111448934,
Txl,2512.865471,-1.128465557,0.488585584,-2.309657908,0.020907101,0.111448934,
serp,17886.04173,1.241777437,0.537817806,2.308918414,0.020948109,0.111568626,
trio,17.81771356,5.337746934,2.312884294,2.307831372,0.021008517,0.111664496,
Rexo5,193.5395719,4.850625569,2.102221992,2.30738028,0.02103363,0.111664496,
Nxt1,1458.546644,-1.005303289,0.435839086,-2.30659278,0.021077532,0.111664496,
dsh,95.00503855,3.907358311,1.693816228,2.306837215,0.021063897,0.111664496,
CG9147,315.1469786,4.39578958,1.905392537,2.307025715,0.021053387,0.111664496,
CG9596,151.1828405,3.040855813,1.318326331,2.306603259,0.021076948,0.111664496,
nSMase,971.7396745,-1.765252694,0.765830457,-2.305017615,0.021165587,0.112032284,
Yippee,392.5665379,3.754610858,1.630652269,2.302520856,0.021305817,0.112675352,
Ocrl,61.8243554,7.259425603,3.154264824,2.301463576,0.021365442,0.11289139,
Aven,43.04274106,7.581633265,3.29546699,2.300624855,0.021412845,0.112943365,
Grip84,104.7605907,3.737288219,1.624262779,2.300913539,0.021396519,0.112943365,
FucTB,1019.399828,-5.425423646,2.359478371,-2.299416563,0.021481296,0.113205114,
Ama,779.9793595,3.744308631,1.631382183,2.29517563,0.021723061,0.114378955,
Cdk2,130.0107096,4.153740907,1.810170795,2.294667949,0.021752161,0.114431972,
RasGAP1,22.53937481,7.616805148,3.320955534,2.293558305,0.021815883,0.114666873,
DCTN3-p24,791.6405169,-0.88998871,0.388274825,-2.292161772,0.02189631,0.114989093,
CG34291,23.08516525,-4.575880498,1.996918132,-2.291471255,0.021936173,0.11501992,
RecQ4,918.6051129,-2.13247552,0.930644102,-2.291397447,0.021940437,0.11501992,
ens,1001.347154,-1.652288131,0.721325174,-2.29062868,0.021984899,0.115036498,
ptc,14.34303042,6.963829695,3.040928663,2.29003389,0.022019352,0.115036498,
CG14434,2429.194559,-1.504440522,0.656882534,-2.29027329,0.022005479,0.115036498,
yellow-b,601.2895786,2.560451331,1.118090978,2.290020563,0.022020125,0.115036498,
CG12702,16.21644518,7.141944783,3.127312026,2.283732715,0.022387244,0.116852864,
Tim17b,8613.705523,-0.853416778,0.373748901,-2.283396088,0.022407048,0.116854793,
Tre1,69.01809149,7.199795537,3.153968732,2.282773277,0.022443727,0.116944653,
vls,329.4574793,4.927351833,2.164296528,2.276652838,0.022806965,0.118734442,
CG45078,15.82548146,7.107110829,3.122552575,2.276058019,0.022842537,0.118812588,
MED4,1005.9927,-2.1021893,0.923738231,-2.275741363,0.022861494,0.118812588,
fon,242.8771542,-5.398383509,2.372629703,-2.275274351,0.022889477,0.11885529,
CG1677,320.445608,2.211088617,0.972183764,2.274352543,0.022944798,0.119039752,
Gpat4,1759.733633,-1.208639657,0.531725454,-2.273052095,0.023023041,0.11934271,
CG15097,57.687382,7.208987608,3.172231751,2.272528672,0.023054598,0.119403359,
CG43759,41.74970099,3.30442847,1.454525761,2.271825333,0.023097062,0.11952034,
Jheh3,207.5853423,-3.536559956,1.559155282,-2.26825384,0.02331374,0.120537847,
Nup188,20.15748957,7.455228596,3.288929885,2.266764223,0.023404633,0.120903829,
angel,41.37556254,7.522259454,3.323480489,2.26336802,0.023613012,0.121875574,
COX5B,6275.851925,-1.117377443,0.4941792,-2.261077443,0.023754462,0.122500497,
kuk,1255.180044,1.055698848,0.467374108,2.258787616,0.023896599,0.123127893,
CG11752,441.7528293,-1.89137014,0.838538033,-2.255556773,0.024098403,0.124061384,
CG17721,791.0400535,-1.479487965,0.656902875,-2.252217216,0.024308549,0.124929318,
ND-B15,865.3519568,-1.079371717,0.479196012,-2.252463896,0.024292972,0.124929318,
CG45071,1237.841611,-1.825419204,0.810638058,-2.251830131,0.024333009,0.124948234,
Galt,665.17872,-1.633615896,0.726348132,-2.249081155,0.024507333,0.125736003,
lncRNA:CR44993,21.88925163,7.574555583,3.369282519,2.248121237,0.02456846,0.125942158,
CG1603,38.02975924,7.401867987,3.303639265,2.240519437,0.02505722,0.128338216,
Cypl,674.5383137,-1.151066573,0.515043615,-2.234891454,0.025424476,0.130045515,
Mo25,754.7729471,2.859665077,1.279635761,2.234749266,0.025433814,0.130045515,
RpS16,2999.205872,-1.196832411,0.535968301,-2.233028348,0.025547075,0.130513647,
CG31195,244.2187772,3.973030873,1.779496295,2.232671619,0.025570607,0.130522973,
CG9503,28.91879058,5.015775731,2.249384716,2.229843431,0.025757839,0.131367164,
CG3262,2716.899103,-1.357235174,0.608920873,-2.228918785,0.025819309,0.131569072,
Alg14,472.6911589,-1.993407793,0.894612589,-2.228235795,0.025864795,0.131689258,
lncRNA:CR45102,19.62638412,7.417447353,3.333282571,2.225268094,0.026063246,0.132587393,
sbr,2011.521774,-2.770940763,1.246514319,-2.222951411,0.026219077,0.133267377,
Wdr62,555.5401786,-2.092087277,0.941310717,-2.222525717,0.026247798,0.133300684,
Bub1,39.36717739,7.45002632,3.353288459,2.22170756,0.026303075,0.133468685,
M1BP,1669.494879,-1.323171894,0.595916029,-2.220399905,0.026391633,0.133805137,
YME1L,284.9383023,3.75346172,1.691344933,2.219217172,0.026471953,0.133916256,
Pym,889.9366726,-1.569117166,0.707202575,-2.218766194,0.026502635,0.133916256,
CG34174,444.9880941,-1.612036829,0.726479038,-2.218972256,0.026488612,0.133916256,
Yip1d1,1299.818782,-0.988399544,0.445315595,-2.21954846,0.026449434,0.133916256,
fs(1)K10,52.6133103,4.90122656,2.210454477,2.217293598,0.026603035,0.134310705,
CG8501,296.9691934,-3.306301538,1.493227554,-2.21419805,0.026815158,0.135268075,
asRNA:CR43957,361.3192614,-2.180571539,0.985346859,-2.212998923,0.02689772,0.135570821,
CG14407,707.0389891,-1.297410621,0.586478887,-2.212203456,0.02695261,0.135733706,
CG15237,569.359491,-1.702420292,0.769711231,-2.211764911,0.026982913,0.135772598,
CG18004,471.3540957,-1.528369996,0.691929301,-2.20885283,0.027184879,0.13667448,
ND-B14.5A,1448.348693,-1.680511941,0.761556518,-2.20668053,0.027336386,0.13732138,
CG15083,1229.683713,-1.082913192,0.491266912,-2.204327557,0.027501316,0.137919445,
CG6379,36.32560991,7.335220606,3.327643899,2.204328597,0.027501243,0.137919445,
tapas,41.69928842,7.535775322,3.420361077,2.203210466,0.027579918,0.138198372,
tant,96.85159655,4.682904604,2.13019845,2.198341945,0.027924747,0.139474704,
mrva,311.156421,3.467981299,1.577345157,2.198619169,0.027905013,0.139474704,
siz,19.92279242,7.438866509,3.383910889,2.198304493,0.027927414,0.139474704,
dnc,269.7388599,-3.732503121,1.697228678,-2.199175143,0.027865471,0.139474704,
w,338.6831922,4.016744017,1.827525969,2.19791351,0.02795527,0.139497957,
CG10383,16.21411412,7.141406252,3.253288703,2.195134494,0.028153951,0.140372894,
CG6420,16.23969133,7.144143838,3.255229783,2.194666525,0.028187528,0.140423864,
Lpt,177.8223911,-6.880113958,3.13595604,-2.193944644,0.028239389,0.140565768,
CG14561,33.61172938,6.262457939,2.856442631,2.192397589,0.028350811,0.141003659,
mRpS5,1077.121348,-0.733060275,0.334489992,-2.191576107,0.028410129,0.141181904,
CG5773,115.8293013,-3.808436342,1.739380524,-2.189536039,0.028557902,0.141799063,
CG2225,60.29157108,5.216977978,2.383211125,2.189054055,0.028592911,0.141855756,
CG8067,13.71895572,6.900464983,3.155330007,2.186923386,0.028748117,0.142368805,
png,15.24072027,7.051058184,3.224579123,2.18666,0.028767354,0.142368805,
Nup153,114.8808029,3.196400244,1.461715152,2.18674633,0.028761047,0.142368805,
nmdyn-D6,32.96134943,7.194678782,3.291047988,2.18613609,0.02880565,0.142441098,
Cul5,126.7988028,4.618130413,2.117044185,2.181404831,0.029153487,0.143824187,
pzg,334.6635058,4.125459085,1.891236176,2.181355844,0.029157107,0.143824187,
arr,196.1130963,4.808294445,2.204213395,2.181410591,0.029153061,0.143824187,
CG8199,895.7032821,-1.53778967,0.705381923,-2.180080919,0.029251464,0.144053278,
CG9527,195.0071263,3.851235203,1.76650541,2.180143452,0.02924683,0.144053278,
kcc,115.2786296,-5.044632101,2.314389719,-2.179681348,0.02928109,0.144081174,
Zir,36.08487856,7.325682805,3.361571822,2.17924328,0.0293136,0.144123204,
