gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,Label
CG13827,58.29322989,8.987715626,2.34917619,3.825901039,0.000130295,0.001488841,
Atg7,73.57952614,6.795333365,1.775936371,3.826338306,0.000130064,0.001488841,
Npc2a,237.2596195,-2.69610446,0.704764895,-3.825537394,0.000130487,0.001488841,
CG18809,41.32306461,8.490772914,2.226505574,3.813497264,0.000137014,0.001560351,
p53,43.75970217,8.573589369,2.25035927,3.80987582,0.000139037,0.00157741,p53
Afti,41.71268313,7.535351516,1.977647376,3.810260418,0.00013882,0.00157741,
mew,56.59477917,5.974723737,1.570251888,3.804946062,0.000141835,0.001606129,
CG2004,809.9351907,2.365168533,0.621816239,3.80364549,0.000142582,0.00160968,
His3.3A,1529.186579,-1.17520054,0.308981264,-3.803468612,0.000142684,0.00160968,
Fhos,46.09396622,8.648146897,2.279546498,3.793801488,0.000148358,0.001670559,
GatA,43.55440044,8.567248463,2.2590901,3.792344742,0.000149232,0.001677251,
Ercc1,42.28172334,8.524417913,2.251378991,3.786309611,0.000152901,0.001715288,
CG34213,39.95049309,8.442264665,2.231748518,3.782802854,0.000155072,0.001736405,
CG4820,57.14242282,7.12729818,1.884680667,3.781700691,0.000155761,0.001740871,
ZnT77C,43.19891305,8.554963577,2.265804636,3.775684558,0.000159569,0.001780125,
Dpit47,2143.815046,-1.355230148,0.359329916,-3.771548335,0.000162238,0.001806547,
S6kII,50.59083301,8.782702001,2.33464548,3.761899644,0.000168628,0.00187423,S6kII
CG15098,2256.022626,-1.351515577,0.359824335,-3.756042733,0.000172621,0.001915076,
CG15784,41.77437654,8.507106677,2.265714245,3.754712977,0.00017354,0.001921726,
CG32572,38.20258982,8.377863967,2.233310526,3.751320682,0.000175906,0.001944338,
CG7367,145.8050024,7.858070511,2.09518714,3.750533954,0.000176458,0.00194687,
HUWE1,50.13794093,7.802044254,2.081425442,3.748413994,0.000177956,0.001959801,
Ada3,138.6735035,4.836440204,1.294587854,3.735891844,0.000187051,0.002056194,
Adar,349.4402993,5.899528718,1.581415132,3.730537668,0.000191072,0.002096557,
CG17781,37.37063132,8.346087378,2.23957,3.726647248,0.000194044,0.002125291,
sced,98.03728496,7.916067963,2.125810876,3.723787498,0.000196256,0.002145615,
