,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,Label
Mtch,1167.508574,1.385073878,1.77614033,0.779822323,0.435495465,0.777096003,
rno,31.28722433,2.449647185,3.625279695,0.675712605,NA,NA,
mri,662.1263122,1.824165106,0.868376436,2.100661684,0.035670675,0.16731815,
Gk1,186.3009549,0.478216414,2.627137779,0.182029438,0.855559624,0.969720911,
NitFhit,650.6670568,-0.291029218,2.061443312,-0.141177405,NA,NA,
CG13876,29.57920369,7.232996055,2.788975903,2.593423646,0.009502564,0.060336017,
CG7028,79.15557096,0.795021107,2.196921126,0.361879677,0.717441948,0.92765591,
thoc7,722.0903446,0.446070295,1.343692649,0.331973457,0.739909301,0.933655325,
Dis3l2,286.3327859,3.503952293,3.176914972,1.102941792,0.270052444,0.621963785,
CG33229,2093.82346,-2.185727094,0.704550287,-3.102301047,0.001920226,0.016477499,
lncRNA:CR42862,2729.837986,1.575086049,0.503622018,3.127516254,0.001762901,0.015238721,
CG42846,128.9303766,-3.472974911,2.661784835,-1.304754188,0.191976563,0.512926472,
E(bx),158.8684725,10.62991765,1.890210401,5.623669009,1.87E-08,8.45E-07,
DIP2,245.3631757,-0.057432191,2.21934792,-0.025877957,NA,NA,
wac,293.5896404,-0.126367494,1.568619124,-0.080559705,0.935792113,0.986831463,
Tudor-SN,2782.927253,2.233150573,1.172644178,1.904371859,0.056861772,0.232468462,
mRpL17,1007.232363,-1.417037705,0.782806113,-1.810202657,0.070264366,0.266804872,
miple1,493.6598643,-1.128111044,1.052421681,-1.071919236,0.28375631,0.635357417,
miple2,569.8187954,-0.440371725,1.469438711,-0.299687031,0.764415892,0.943957271,
RhoGEF3,15.79408998,1.805510252,3.742113538,0.482484092,0.629462097,0.890670037,
fwd,149.2810713,2.40581988,2.561099801,0.939369828,0.347540898,0.703079939,
CG32344,641.5252495,2.893777805,2.308685307,1.253431031,0.210048884,0.538215929,
Atac3,209.0568508,-0.391555188,2.01593076,-0.194230474,0.845995422,0.967839519,
Ptpmeg,190.2265519,-0.125963903,2.777698958,-0.045348292,0.963829696,0.993076995,
mthl9,454.3787917,0.331034662,1.581721491,0.209287579,0.834223747,0.962238459,
mthl10,299.0274421,0.631988138,2.655040791,0.238033306,0.811855262,0.957480985,
mth,1102.144289,-0.317524226,0.662128601,-0.479550687,0.631546918,0.89139577,
Cdc5,397.8106548,0.864079746,1.800418079,0.479932831,0.631275155,0.891336863,
CG1233,51.23323854,8.029464734,2.189708793,3.666909847,0.000245499,0.002863184,
trh,255.9941145,-0.576122879,1.792699664,-0.321371667,0.747928752,0.93715716,
klar,563.3798448,-2.633804606,0.983457693,-2.678106669,0.007403964,0.049175703,
BORCS6,117.1494613,-2.858826247,2.671759486,-1.070016317,0.284611964,0.636281351,
Cypl,621.9435073,-0.921837838,0.548634314,-1.680240943,0.092910446,0.31974684,
Hipk,111.6571028,7.205829896,1.769365706,4.072549768,4.65E-05,0.000695239,
MED14,20.5423233,0.248107696,2.737111893,0.0906458,0.927774039,0.984993732,
Reg-2,123.668994,-2.553027607,2.994512445,-0.852568708,0.393898522,0.743161921,
lncRNA:CR43334,105.5436058,0.59957147,1.437870754,0.416985649,0.676688904,0.91096463,
Gale,73.40648836,-0.631768321,2.474760748,-0.255284605,0.798503289,0.953800133,
CG3402,1356.295559,-0.720497483,0.547409202,-1.316195416,0.188108462,0.507435309,
MED30,125.4046086,-0.162843657,2.880307891,-0.056536892,0.954914107,0.990468523,
Rev1,101.5142962,7.972705223,2.328887945,3.423395806,0.00061844,0.006235313,
RabX6,132.6656802,-0.226414849,1.819702818,-0.12442408,0.900979508,0.982190729,
CG13895,226.2761208,-2.613116587,2.677057621,-0.976115182,NA,NA,
CkIIalpha-i3,211.0627217,1.484867582,2.538563622,0.584924313,0.55859861,0.853507312,
CG13896,159.6505909,-0.062508354,2.278016644,-0.027439815,0.978108943,0.995898903,
hng3,161.3837252,-1.321867665,1.769455314,-0.747047781,0.45503472,0.792971859,
emc,1483.591041,1.700791127,1.354248199,1.255893217,0.209154688,0.53709535,
Sf3b3,185.7204682,4.793548408,1.489302373,3.218653576,0.00128794,0.011792072,
snoRNA:Psi18S-1086,2.832402726,0.48937639,3.787456347,0.129209777,0.89719166,0.982190729,
CG42553,138.3472565,-3.254090339,2.629544604,-1.237510987,0.215897438,0.54546987,
CG42554,301.5711789,-2.431627097,2.554448742,-0.951918532,0.3411383,0.69642907,
CG13901,353.5313502,-1.705604821,2.020061529,-0.844333104,0.398483293,0.74816271,
CG13887,6178.642743,-0.706626705,0.449931753,-1.57051975,0.116294243,0.373136854,
JMJD5,294.9028151,0.049147516,1.853681141,0.026513468,0.978847791,0.995961107,
Dci,512.2446035,-2.16057162,1.81293491,-1.191753553,0.233357893,0.569573049,
Usp10,502.5003603,-0.516695958,1.623648542,-0.318231406,0.750309412,0.937567755,
CG34056,1489.032161,-0.418082282,0.563144955,-0.742406157,0.45784129,0.795748534,
trio,35.10677184,6.528138229,2.677631079,2.438027509,NA,NA,
CG9205,885.6513919,-1.969803594,0.759301146,-2.594232347,0.00948024,0.060308277,
mwh,343.3011406,-0.036781646,1.823081742,-0.020175533,0.983903346,0.99698659,
CG9192,80.27123643,1.102656017,2.188055603,0.503943325,0.614301204,0.883041665,
Klp61F,69.92390129,5.080458083,3.442294681,1.475892843,0.139972661,0.418920215,
Psf1,190.2625236,0.643573648,1.028417951,0.625789979,0.531452705,0.842470065,
Sac1,836.6660357,11.18900784,1.184918399,9.442850961,3.63E-21,2.37E-18,
Rabex-5,38.82684923,-0.829161452,3.72935455,-0.222333769,NA,NA,
scf,83.17871286,9.696378504,2.217231761,4.373191236,1.22E-05,0.000222136,
Rac1,1450.795817,0.445439191,0.652278507,0.682897237,0.49467178,0.81813009,
CG9149,952.3791099,-0.75481862,0.819168251,-0.92144516,0.35681806,0.712424103,
CG2277,45.18641353,2.326432833,3.732614015,0.62327174,0.533105965,0.842756308,
Ctr9,207.4802414,1.451379305,1.451788272,0.999718302,0.317446853,0.6709573,
sturkopf,2183.445694,-0.261944683,0.834783295,-0.313787644,0.753682329,0.940383089,
Herc4,167.7098053,8.834348239,1.460549087,6.048648633,1.46E-09,9.04E-08,
Myo61F,232.7354736,1.249695975,2.698900044,0.463038999,0.643336413,0.896309893,
ND-ACP,1631.404293,-0.751813484,0.383224252,-1.961810823,0.049784513,0.21159318,
msd1,103.0213769,-0.894319039,1.158250655,-0.772129103,0.440037967,0.779732521,
msd5,309.3704345,-0.883861539,1.464863331,-0.603374745,0.546259419,0.846873687,
CG2211,603.231311,-2.003032713,0.813386615,-2.462583815,0.013793993,0.081243577,
l(3)02640,85.71376951,0.520934221,2.822308848,0.184577326,0.853560572,0.969720911,
CG2199,484.8162804,1.029619486,1.794069676,0.573901616,0.56603438,0.856766626,
Ptp61F,693.6101132,-0.670495977,1.735084286,-0.38643424,NA,NA,
312,263.2326839,-0.277917593,1.885266267,-0.147415566,0.88280402,0.976817177,
rho,1341.295022,0.91940385,1.156795731,0.794784961,NA,NA,
CG12084,155.5446458,10.59956963,1.958939201,5.410872179,6.27E-08,2.49E-06,
hfp,374.2571871,-0.040076489,2.08737634,-0.019199455,0.984681992,0.997157886,
Psa,400.7910058,2.389665423,1.674588802,1.427016244,0.153575212,0.447520882,
cue,233.7256908,-0.543773712,2.685489925,-0.202485851,0.839536919,0.964488649,
Iml1,29.11942264,7.212067925,3.897322056,1.850518849,0.064238804,0.251730459,
CG12091,1217.633398,-0.50422226,1.357713192,-0.371376122,0.710357408,0.925589207,
Pcyt1,379.1511443,1.077103947,1.857759597,0.579786507,0.562058598,0.855236976,
CG12099,706.0305036,1.320581757,1.843331984,0.716410158,0.473738125,0.804574602,
Pex10,147.8243818,-0.153904013,2.705552203,-0.056884511,NA,NA,
CG7879,200.5119601,0.507280592,1.211449802,0.418738433,0.675407304,0.910811021,
CG12004,709.4346316,3.069492855,1.854461509,1.655193619,0.097885229,0.331625001,
CG13917,144.7765265,-0.776165028,1.286929158,-0.603114028,0.546432835,0.846873687,
CG12104,403.7198812,0.432786428,1.740564064,0.248647227,0.803633674,0.955743427,
ABCB7,207.4121653,6.958222109,1.916235684,3.631193265,0.000282114,0.003207476,
CG33230,124.3390937,10.27630062,2.16056395,4.756304772,1.97E-06,4.65E-05,
metl,1086.233903,-0.98677301,0.541941584,-1.820810652,0.068635644,0.262757859,
Bgb,510.9490005,-1.642057453,1.847476537,-0.888810992,0.374104668,0.729010651,
alphaCOP,566.4634147,2.25465987,1.648124441,1.368015554,0.171307208,0.479128202,
CG13919,91.77914423,-0.420563188,1.991947074,-0.211131708,0.832784498,0.961159259,
CG17249,58.05239324,9.177467618,2.510935621,3.654999173,0.000257183,0.002981697,
Vta1,222.9528189,2.035641687,2.478937638,0.821175029,0.411546578,0.7583294,
CG7970,543.2002947,0.232581127,1.81264526,0.128310339,0.897903384,0.982190729,
CG7971,378.1838188,0.892065813,1.443133592,0.618144999,0.536479762,0.844326184,
CG7974,86.03080706,0.461609801,2.379180035,0.194020542,0.846159797,0.967839519,
RpL23A,2462.113418,-0.617942036,0.447652278,-1.380406326,0.167461574,0.472331636,
RabX5,151.5425451,-0.026754021,2.703857348,-0.009894761,0.992105252,0.997642054,
drpr,199.4910218,8.117219161,1.394814909,5.819567248,5.90E-09,2.96E-07,
Gk2,334.4774686,1.397657978,2.480881661,0.563371482,0.573181952,0.860578165,
Cht2,1854.807319,0.636912236,1.672591277,0.380793709,0.703356328,0.922343753,
CG8001,214.571712,-0.890416109,3.440939114,-0.258771248,0.795811743,0.953164964,
CG12018,253.8819007,-0.03920187,1.954363405,-0.020058639,0.983996595,0.99698659,
CG2021,299.939977,-1.467391038,1.140072209,-1.287103594,0.198058183,0.52088859,
mRpL46,723.722113,-0.918235176,1.381127463,-0.664844629,0.506149874,0.824140986,
alpha-Spec,159.9007911,8.834143481,1.83669472,4.809805018,1.51E-06,3.75E-05,
Cdc37,2151.956644,-0.440175534,0.503938597,-0.873470571,0.38240664,0.733165021,
Patj,184.0585937,8.962062971,1.474676428,6.07730808,1.22E-09,7.81E-08,Patj
JTBR,664.8834336,-0.831188586,0.625322505,-1.329215851,0.183776767,0.500574531,
CG42676,572.1631396,-2.418447323,1.300108512,-1.860188823,0.062858816,0.248133592,
GV1,1746.651532,2.197239694,1.195325875,1.838193033,0.066033966,0.256034072,
CG12024,187.9175067,-0.895498413,1.680044287,-0.533020719,0.594019238,0.872088176,
Rap1,1471.120661,0.593710303,0.362357387,1.638466124,0.101324495,0.340140139,
HBS1,263.3217399,1.813597113,2.123499376,0.854060582,0.393071423,0.742917629,
CG12025,694.4638346,0.47926117,2.239041399,0.214047481,NA,NA,
dre4,305.7214344,0.217311119,1.892104101,0.114851566,0.908562776,0.982806814,
Aprt,161.1514612,0.11937091,2.682138842,0.044505865,NA,NA,
Mfap1,62.17072899,9.276317046,2.491194433,3.723642331,0.000196369,0.002355627,
mu2,145.8435624,0.673640547,2.87381136,0.234406669,0.814669282,0.958044822,
Cnb,429.5009237,-0.672515539,0.952755868,-0.705863445,0.480273062,0.811686331,
SCOT,342.6654834,10.77648938,1.782531775,6.04560857,1.49E-09,9.11E-08,
CG1927,715.6852462,-0.247780462,1.745030852,-0.141992024,0.887086306,0.978475006,
sls,264.4951094,1.286200416,2.916516443,0.441005714,0.659208861,0.903549512,
zormin,57.56622141,2.936029446,2.047616753,1.433876453,0.151607523,0.443507421,
CG5704,49.04814883,-0.960472363,3.103666779,-0.309463751,0.756968782,0.94108767,
CG9018,318.5611561,-0.138232664,1.17686701,-0.117458186,0.906496977,0.982806814,
CG1275,1267.378922,-1.834213974,0.867451533,-2.114485828,0.034473794,0.163450843,
CG2034,332.3503661,-0.567091471,0.863999822,-0.656356004,0.511595091,0.828952381,
CG13807,511.5079438,-2.303181671,0.641256028,-3.591672549,0.000328563,0.003583099,
ecd,228.044586,0.15892947,1.858904793,0.085496294,0.931866842,0.984993732,
MsR1,4.297345381,4.401888655,3.914326028,1.124558512,0.260776163,0.609609362,
CG1317,134.0076789,3.528638495,2.510315337,1.405655474,0.159826455,0.458496779,
CG8993,490.8777378,-0.627130392,0.974800427,-0.643342345,0.520001985,0.83585256,
mRpL23,667.4285324,0.438272767,1.213452404,0.361178374,0.717966107,0.927894092,
CG9004,105.4139821,3.863598342,1.859639877,2.077605664,0.037745694,0.173979415,
CG15877,276.8089691,0.344065767,0.698423131,0.492632263,0.622272448,0.887552187,
Svil,126.3176245,-0.503414097,2.788251989,-0.180548279,0.856722156,0.969720911,
CG1146,855.7027835,-0.018742792,0.670578717,-0.027950174,0.977701891,0.995898903,
Spn,2.786720938,2.665713649,3.870351793,0.688752287,0.490979166,0.816728192,
msn,337.2736901,-1.217987637,1.869530966,-0.651493695,0.514727846,0.831200626,
RpL8,8399.657931,-0.770848668,0.467476413,-1.648957354,0.099156372,0.3351588,
dos,98.27772409,8.158534322,2.412837649,3.381302644,0.00072143,0.007187403,
CG12182,41.67974158,7.731622893,3.5566291,2.173862575,0.029715457,0.147711676,
CG16986,640.8638533,-1.652597501,0.917094426,-1.801992744,0.071546547,0.269993327,
Pxn,49.62127483,-4.851625091,3.711691866,-1.307119574,0.191172104,0.511546741,
MEP-1,3.290970317,5.036002577,3.916251476,1.285924208,0.198469514,0.52127069,
ProRS-m,103.8225354,1.104662012,2.749510166,0.40176684,0.687855628,0.914747335,
Mrtf,19.27359912,5.794634888,3.873146111,1.49610542,NA,NA,
Non2,7284.063227,-1.421175713,0.384443652,-3.696707451,0.000218414,0.002577984,
AhcyL1,186.7893951,5.648421937,1.706220515,3.310487646,0.000931336,0.008930491,
CG12093,431.4369859,-1.532936418,1.714816499,-0.893936126,0.371356068,0.727653892,
Atg2,56.46806267,8.171416224,3.349632604,2.439496264,0.014707755,0.085427058,
mRpS35,534.5263212,-1.149280671,0.804003748,-1.429446907,0.152875825,0.445736159,
Pgant6,186.5055209,1.251911923,2.836599862,0.441342446,0.658965101,0.903549512,
Tet,89.23587757,2.922839784,1.695202025,1.72418375,0.084674677,0.301830049,
spz5,72.018398,2.744668953,2.641204168,1.039173339,0.298724128,0.649371458,
CPT2,531.9647282,-0.606473031,1.596718597,-0.379824618,0.704075607,0.922343753,
CG2162,288.5278991,1.539779229,1.896335586,0.811976129,0.416805329,0.760391596,
Jafrac2,1655.551558,-1.111793468,0.642069259,-1.731578725,0.083348597,0.298369703,
scramb2,2273.253213,-0.912565785,0.566584426,-1.610643961,0.107257346,0.353303947,
Sk2,526.4831885,1.444248965,2.185344412,0.660879337,0.508689699,0.825938258,
CG1271,37.94776638,-4.041947651,3.741432992,-1.080320738,0.279999378,0.632757101,
CG16753,467.5553953,1.171755069,1.704215978,0.687562542,0.491728304,0.816728192,
CG32486,146.0829944,-7.00772296,2.124118262,-3.299120904,0.000969881,0.0091951,
CG11486,125.9855166,2.906265472,1.179603812,2.463764056,0.013748658,0.081057787,
prominin-like,220.6841481,4.544479149,1.895528348,2.397473587,0.016508571,0.093014535,
CG11537,104.8083623,3.058673766,2.203069695,1.388369044,0.165024698,0.467477192,
Alg2,254.3405141,2.181372739,1.687985672,1.292293397,0.196255558,0.518750339,
Usp5,193.5128795,10.91451661,1.77740413,6.140706225,8.22E-10,5.75E-08,
BtbVII,12.25443283,1.084407968,3.009138427,0.36037158,0.718569277,0.928092773,
ND-30,2033.345054,-1.470887349,0.706702296,-2.081339423,0.037402849,0.173113344,
CG15812,91.78335087,9.838480729,2.247280782,4.377949034,1.20E-05,0.000218016,
rasp,1506.540433,0.388045934,0.743608817,0.521841491,0.601780699,0.874695091,
Asciz,46.46324331,7.889148282,2.254508494,3.499276362,0.000466523,0.004879397,
CG32280,829.2884472,1.070135794,1.501695028,0.712618591,0.476081805,0.807273428,
CG32278,641.7702808,0.081190106,1.513153234,0.053656235,0.957209052,0.990930301,
CG14963,5.339456009,5.734295155,3.912614445,1.465591674,0.142759561,0.425959745,
CG14964,3.817837092,5.250581523,3.91494191,1.341164606,0.179867015,0.494480986,
Hsp83,45254.60222,0.464599896,0.565087675,0.822173119,0.410978375,0.758173449,
CG14966,120.8641873,-0.05321223,1.937913976,-0.02745851,0.978094032,0.995898903,
CG32276,2661.587207,0.838987427,0.404316158,2.075077662,0.037979338,0.174561657,
gry,257.6375605,-0.872291267,1.65555922,-0.526886176,0.598272634,0.873275193,
hob,41.38780522,6.775508167,2.211600513,3.063622081,0.00218675,0.018230589,
nSMase,949.2650658,-1.182024413,0.802145418,-1.473578714,0.140595056,0.419927713,
RpL28,1758.79341,0.536776079,0.819532876,0.654978091,0.51248186,0.828952381,
eIF1,3592.095569,0.082069103,0.428268623,0.191629969,0.848032065,0.968473379,
Larp4B,125.170655,4.073570642,2.393799621,1.701717473,0.088808343,0.310943879,
CG17746,830.8092513,1.256163824,1.461841844,0.859302139,0.390173844,0.739989335,
lncRNA:CR43626,95.05449595,1.090254021,1.401147233,0.778115244,0.436501077,0.778208471,
ckd,600.7308799,1.296085771,1.673500952,0.77447567,0.43864955,0.778730552,
CG12009,1760.631626,0.950589181,1.30438834,0.728762403,0.466147013,0.799071122,
CG14968,1069.503251,-2.584276043,1.107446036,-2.333545797,0.019619518,0.106093399,
ZnT63C,873.2986168,-0.061451148,0.663618363,-0.092600132,0.926221239,0.984378664,
PIG-C,109.5654248,0.786450197,2.834225845,0.277483249,0.781409066,0.950645363,
Strip,197.2151321,0.333975157,2.620812875,0.127431897,NA,NA,
PHGPx,1372.299659,-1.154508207,0.584095905,-1.976573019,0.048089914,0.206783114,
CG14969,724.6629424,-0.894457177,1.455822823,-0.614399749,0.538951202,0.845049546,
kst,64.15562683,-1.020049956,2.102760516,-0.485100395,0.627605132,0.89043277,
Ythdc1,219.5246927,4.336576673,2.540475093,1.706994367,0.087823099,0.308561972,
CG12012,518.5433614,-0.773964561,0.728130648,-1.062947375,0.287805817,0.638165295,
sty,448.4930021,-0.401254851,1.497051412,-0.268030107,0.788676144,0.951081765,
eIF5B,441.9647412,0.97825422,1.282918343,0.762522592,0.445748164,0.783290795,
armi,71.05738848,9.469297566,2.850301226,3.322209414,0.000893076,0.008634051,
CG14971,667.7204438,-1.929949859,2.490408462,-0.774953141,0.438367349,0.778730552,
CG32267,546.4531836,-0.086056011,0.451216127,-0.190720158,0.848744845,0.968910895,
CG42324,5.651321363,0.84880599,3.191570548,0.265952445,0.790275834,0.951081765,
Eip63E,2224.558575,0.626804521,0.495629036,1.264664648,0.205991568,0.532461933,
CG10359,39.79463939,8.632790311,2.958816059,2.917650215,0.003526797,0.027421315,
dar1,137.1328876,1.205927624,2.792553565,0.431836882,0.665859972,0.906166248,
CG32264,307.1773478,-1.831843503,1.972046821,-0.928904671,0.352938492,0.708528845,
ntc,59.86309804,9.221951721,2.487035866,3.708009139,0.000208895,0.002475576,
IntS10,43.89867465,0.007654851,3.728777268,0.002052912,0.998362014,0.999797102,
CG32262,239.4213722,-4.193509692,3.226981468,-1.29951465,0.193767369,0.514205236,
PIG-B,1021.636807,0.659987168,1.458184023,0.45260897,0.650830339,0.89963287,
Scsalpha1,2683.646903,-0.523921187,0.528878402,-0.990626929,0.321867783,0.676417172,
enc,54.35399448,1.29583814,2.483806487,0.521714613,NA,NA,
CG14977,869.9714047,-1.005526147,0.587368288,-1.711917664,0.086911843,0.307035553,
Ccz1,87.32904199,7.97063436,1.904889107,4.184303606,2.86E-05,0.000459386,
Ubi-p63E,304.0971416,1.323322594,1.770079521,0.747606295,0.454697666,0.792854608,
Sc2,1097.69309,0.085684898,0.643471818,0.133160296,0.89406661,0.98120305,
ida,18.32848815,4.391757078,3.462930275,1.268219898,NA,NA,
mge,1523.372784,-1.629376577,0.62981391,-2.587076198,0.009679418,0.061309937,
CG10863,329.9925677,-2.475395395,1.899554974,-1.303144909,0.192525294,0.513015937,
CG14985,740.8853715,-1.226759931,1.822986626,-0.672939622,0.500985704,0.820048445,
Mul1,305.1087676,-1.373631779,1.882703313,-0.729606077,0.465631006,0.799071122,
CG11593,149.4396166,6.163158924,2.016525516,3.056325782,0.002240677,0.018550277,
Rcd5,443.5152455,-0.368724275,0.752443575,-0.49003578,0.62410858,0.888540495,
CG14990,8.608483153,2.916339172,3.779527753,0.7716147,NA,NA,
Fit1,198.4475937,-0.831624763,2.660566912,-0.312574271,0.754604128,0.940534102,
Ack,49.98691028,1.018534088,3.284278863,0.310124119,0.756466572,0.940994885,
Chd64,3341.193026,-2.030700549,0.538531939,-3.770808008,0.00016272,0.002013615,
ens,995.1974306,-0.971972916,0.739798585,-1.313834517,0.188901899,0.507887162,
RfC4,861.7710413,-1.516352911,0.701281103,-2.162261188,0.03059805,0.151138937,
Rop,482.7209631,9.044694969,0.932531098,9.699081341,3.04E-22,2.98E-19,
Ras64B,1019.520745,-0.371719219,0.659001611,-0.564064205,0.572710438,0.860529641,
CG1299,466.3133137,1.018417097,1.162170013,0.876306466,0.380863451,0.732336713,
Ero1L,432.0572408,-1.275069845,0.836809239,-1.523728211,0.127576619,0.395090899,
VhaM9.7-c,202.022583,1.58946727,2.580334371,0.615992752,0.537899304,0.844490413,
ImpL2,110.0416632,10.10017796,2.215067749,4.559760291,5.12E-06,0.000104887,
CG14997,3495.849162,0.060075906,0.590818673,0.101682478,0.919008711,0.983552725,
pav,164.1162441,4.074532399,1.971157163,2.067076373,0.038726958,0.176736847,
ago,85.41482358,6.382986518,2.421473654,2.635992552,0.008389157,0.054669032,
CG1265,329.7779432,-0.835284322,1.589821516,-0.52539503,0.599308608,0.873707869,
CG15011,314.3720265,-0.866568828,2.21150375,-0.391845968,0.695172028,0.919491715,
CG1309,257.2436131,-0.089958411,2.299755963,-0.039116503,0.968797504,0.993820546,
CG11586,80.12235059,3.708036587,1.97760027,1.875018245,0.060790214,0.243243619,
CG1273,46.22281851,7.881756294,2.279663082,3.457421562,0.000545371,0.005584827,
Ctl1,729.1314608,2.421203215,1.814523246,1.334346761,0.182090239,0.498289771,
CG11583,1105.85846,0.148386626,0.785068281,0.189011108,0.85008411,0.968934342,
CG1316,1327.683279,0.293960869,1.189312769,0.247168681,0.804777682,0.955743427,
TfIIEbeta,369.8539363,-0.857591527,1.615878363,-0.530727774,0.595607437,0.872741864,
Hexo1,1321.135047,1.12016988,1.933971222,0.579207109,0.562449435,0.855610191,
CG15012,4454.142772,-0.391524188,0.435344432,-0.899343506,0.36846972,0.724616762,
Fdx2,185.9889138,2.483708425,2.118499374,1.172390446,0.241040334,0.57924574,
Claspin,70.8294204,1.228385235,2.044250951,0.600897475,0.547908275,0.847692076,
PMP34,371.9562599,-0.678750452,2.600893995,-0.260968134,0.794117081,0.953164964,
CG15014,273.2380554,0.381618687,2.573045764,0.148313991,0.882094974,0.97663482,
Cip4,266.3955097,1.305356129,1.880939478,0.693991563,0.4876875,0.815317705,
mRpS6,272.4056467,-0.058784218,0.901765061,-0.065187953,0.948024353,0.990211804,
CG11342,135.0997207,-0.87215319,1.592949388,-0.547508412,0.584029493,0.864918761,
Syx17,100.9685598,9.976084377,2.518658086,3.960872828,7.47E-05,0.001023187,
CG15019,1998.519513,0.571991302,0.646609672,0.884600598,0.376372084,0.729667985,
DOR,134.0500787,2.600328807,0.829883616,3.13336564,0.00172814,0.015004443,
Tie,30.46816948,-1.426544688,3.296735434,-0.432714337,0.665222313,0.90556652,
CG32243,437.0113832,0.367016262,1.903789613,0.192781943,NA,NA,
CG11357,430.9352838,-0.800775021,1.708031841,-0.468829094,0.639191802,0.894930364,
Src64B,91.30641499,1.365335629,2.811000246,0.485711672,0.627171607,0.89043277,
HDAC1,582.7933957,0.548171696,1.486593074,0.36874361,0.71231884,0.926377095,
Dhc64C,219.4877897,2.244676492,2.235965387,1.003895903,NA,NA,
LeuRS-m,187.8909618,10.87196644,1.903084856,5.71281223,1.11E-08,5.40E-07,
CG4603,495.8304783,-0.791986557,1.042671011,-0.759574735,0.447508826,0.784525163,
CG4611,57.88210379,8.207183987,2.263610369,3.625705245,0.000288174,0.00326375,
Prpk,1206.904385,-2.241987835,0.562112174,-3.988506099,6.65E-05,0.000939501,
CHMP2B,411.0273347,-1.526559886,1.722678993,-0.886154584,0.375534233,0.729233638,
CG10672,349.0919886,-1.071459773,1.162580362,-0.921622116,0.356725718,0.712424103,
AlaRS-m,203.2567444,10.98551085,1.758939129,6.245532133,4.22E-10,3.35E-08,
Gen,192.1601945,-1.225574134,2.041422393,-0.600353037,0.548270979,0.847692076,
Srp54k,626.0868762,2.053864815,1.454454086,1.412120763,0.157914406,0.455233388,
shep,891.2754783,-1.516177267,0.853466087,-1.776493865,0.075651552,0.282145735,
Klp64D,47.49956047,6.980931904,2.0025156,3.486081159,0.000490152,0.00510836,
Cyt-c1,5361.754386,-0.726774086,0.334248541,-2.174352309,0.029678687,0.147711676,
Uev1A,1689.376703,0.80383573,1.08245048,0.742607394,0.457719411,0.795748534,
Membrin,564.5168544,-1.165821952,2.241850444,-0.520026639,NA,NA,
Pfdn4,890.1506724,-0.633552679,0.552305557,-1.147105386,0.251338068,0.595531801,
frm,76.68286302,-1.783232218,1.056396552,-1.688032978,0.091404899,0.316604593,
sinu,1341.529586,0.803657275,1.676960442,0.479234486,0.631771824,0.89139577,
ScsbetaG,1775.093737,-0.318990151,0.397114431,-0.803270105,0.421818633,0.766422845,
Sras,240.042223,0.164221216,2.222761633,0.073881614,NA,NA,
bc10,391.9513617,-0.744500758,2.330870121,-0.319408941,NA,NA,
Msr-110,4047.619807,-0.640194507,0.438780443,-1.459031545,0.144556426,0.428926133,
l(3)psg2,349.0700412,-1.157491896,2.487903274,-0.465247949,0.641753905,0.895770123,
TM9SF3,1030.243668,-0.021975108,0.859682084,-0.025561901,0.979606775,0.996043699,
Eaf6,139.1300222,-2.843609194,3.547903203,-0.801490072,NA,NA,
Blimp-1,61.84835742,6.736791686,1.814456275,3.712843223,0.000204944,0.002441358,
DnaJ-1,448.1381421,0.113686333,0.882733203,0.128789007,0.897524604,0.982190729,
Usp47,155.1908638,2.401558053,2.559246966,0.938384644,0.348046775,0.703079939,
CG10576,5259.502086,-0.018845214,0.322411241,-0.05845086,0.953389503,0.990468523,
Txl,2068.832022,-1.433824258,0.528048705,-2.715325774,0.00662106,0.045254178,
scny,343.4065831,2.385520036,1.761724326,1.354082475,0.175710067,0.486721853,
vito,229.3412863,0.495017497,1.606876946,0.308061858,0.758035264,0.941156702,
Bre1,48.84584483,8.928499165,3.171579464,2.815158588,0.004875317,0.035687562,
Tektin-C,187.4422945,-1.799193071,1.740634417,-1.033642133,0.301303495,0.651859886,
S6k,246.1754575,3.516299162,1.997388343,1.760448424,0.078331805,0.287444477,
CG42272,23.03955254,6.872223268,2.870586258,2.394013854,0.016665119,0.09356024,
kri,2637.37915,-0.237753665,0.450884813,-0.527304664,0.597982036,0.873275193,
mad2,108.0548504,0.891176089,1.992075047,0.447360701,0.654614646,0.901058769,
vn,68.22004089,4.675817361,2.492414527,1.876019141,0.060652652,0.243024053,
DNApol-epsilon58,212.2240753,-0.623551431,1.615561234,-0.385965829,0.699521976,0.920891764,
CG32409,2301.219415,-0.918843787,0.74237558,-1.237707451,0.215824555,0.54546987,
QC,1634.148144,-0.585986342,0.729485248,-0.803287447,0.421808612,0.766422845,
CG32407,32.74425446,8.351510539,3.014532029,2.77041692,0.005598458,0.039552568,
CG33523,677.8943689,-0.817518292,1.457940609,-0.560734976,0.57497822,0.861456564,
Rcc1,546.7342543,1.868241098,1.162034667,1.60773267,0.10789374,0.354499388,
tant,104.7722449,4.996625829,2.229932565,2.240707144,0.025045051,0.129362751,
CG13295,71.33517892,-2.284160111,3.692389758,-0.618612947,0.53617137,0.844326184,
CG6610,321.0973379,-0.031387888,0.792794559,-0.039591452,0.968418842,0.993778972,
