,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,Label
CG7518,94.62932829,-2.825115675,2.412441942,-1.171060586,NA,NA,
CG8031,648.6949712,-0.331022652,0.726398652,-0.455703836,0.648602964,0.898959731,
CtBP,702.9730839,1.578928568,1.179846726,1.338248887,0.180815318,0.495492977,
CG46280,353.1336967,2.290161168,2.117550837,1.081514138,0.279468475,0.632067607,
l(3)87Df,434.5228751,-0.878229813,0.917664691,-0.957026921,0.338553667,0.693386222,
CG7966,231.9122028,-2.583461448,1.291018669,-2.00110309,0.045381281,0.199963398,
pic,306.12675,3.467469991,1.848904865,1.875418285,0.060735202,0.243189043,
Ace,31.00693376,-1.331312964,3.730968866,-0.35682768,0.721220813,0.929678934,
CG11686,379.7191808,1.145046407,1.521933972,0.752362736,0.45183295,0.789968494,
Ravus,111.831782,5.863505728,2.117284936,2.76935127,0.005616804,0.039634544,
Su(var)3-7,26.61323387,8.052136766,3.408613184,2.362291152,0.018162372,0.100054753,
TBC1D5,321.0982353,3.861650407,2.248946479,1.717093067,0.085962169,0.304756109,
CG8630,254.4480838,-1.062503549,1.717684563,-0.618567327,0.536201432,0.844326184,
CG32473,284.5007794,0.710827182,1.498101081,0.474485461,0.635153763,0.893379713,
poly,595.2265461,0.716330049,0.540909392,1.324306917,0.185401134,0.503133826,
Dic1,74.53446306,0.522162673,2.87845806,0.181403606,0.856050788,0.969720911,
mRpS21,496.2314486,-1.674801115,0.850533114,-1.969119235,0.048939401,0.209668948,
Droj2,1079.74942,1.217776749,1.337950863,0.910180473,0.36272734,0.717882595,
CG9799,623.0684522,1.477419944,2.484526498,0.594648496,0.552078456,0.850414563,
GILT1,2998.416542,1.066072101,0.452741178,2.354705413,0.018537395,0.101549681,
CG33977,412.6612644,-0.309863625,0.577541504,-0.53652183,0.591597953,0.869570584,
Act87E,153.9131551,-2.230094494,2.255116597,-0.988904297,NA,NA,
yrt,52.69124768,2.595075915,2.145434507,1.20958058,0.226439874,0.56042677,
sqd,3227.378427,0.319122165,0.521607164,0.611805564,0.540666408,0.845897564,
rin,2908.641262,0.774857593,0.659905448,1.174194872,0.240316979,0.578522864,
Hrb87F,311.270091,0.942854809,1.522223228,0.619393261,0.53565732,0.844326184,
B52,1779.927276,-0.570943685,0.558996979,-1.021371684,0.307078376,0.658761567,
CG9588,538.4952534,-0.515409657,0.862547629,-0.597543416,0.550144629,0.849199089,
Lkb1,187.7207164,-1.133600986,2.228138675,-0.508765904,NA,NA,
omd,149.7281882,5.195664231,2.179662259,2.383701516,0.017139498,0.095493808,
flfl,270.6800516,-0.738340121,2.072978426,-0.356173567,0.721710586,0.929760084,
CG31469,42.95718368,1.837096437,2.899876927,0.633508416,0.526401687,0.840101428,
CG34383,358.6767009,-2.141439378,1.212102965,-1.766714082,0.077276124,0.28514065,
