"Feature","Frequency"
"Promoter",58.0724954809247
"5' UTR",1.54124250784892
"3' UTR",3.46303872133955
"1st Exon",0.152221482256683
"Other Exon",8.73370754447721
"1st Intron",7.9726001331938
"Other Intron",12.2157739510988
"Downstream (<=300)",0.913328893540101
"Distal Intergenic",6.93559128532014
